length,count
2,10509
3,3504
4,6809
5,2889
6,3053
7,6365
8,2314
9,2878
10,4279
11,3201
12,3876
13,2575
14,2412
15,2184
16,2471
17,3178
18,2114
19,2069
20,2187
21,2322
22,3096
23,2337
24,2060
25,1982
26,2304
27,2686
28,2030
29,1800
30,2412
31,1501
32,1624
33,1439
34,1389
35,1291
36,1328
37,1738
38,1310
39,1152
40,1133
41,1225
42,1304
43,1420
44,1119
45,1049
46,1028
47,986
48,1152
49,1249
50,1108
51,821
52,754
53,779
54,821
55,898
56,750
57,747
58,678
59,692
60,821
61,718
62,642
63,593
64,603
65,609
66,688
67,729
68,624
69,641
70,620
71,479
72,556
73,630
74,482
75,497
76,506
77,450
78,454
79,482
80,460
81,420
82,423
83,451
84,417
85,474
86,432
87,449
88,402
89,418
90,389
91,370
92,348
93,321
94,325
95,333
96,336
97,335
98,335
99,326
100,327
101,312
102,310
103,293
104,312
105,337
106,308
107,277
108,306
109,282
110,299
111,274
112,242
113,260
114,209
115,237
116,219
117,235
118,228
119,207
120,228
121,209
122,224
123,182
124,202
125,230
126,209
127,233
128,176
129,185
130,176
131,165
132,187
133,175
134,175
135,162
136,159
137,147
138,149
139,167
140,161
141,156
142,144
143,133
144,117
145,127
146,147
147,134
148,117
149,97
150,106
151,109
152,91
153,77
154,63
155,56
156,50
157,48
158,36
159,35
160,36
161,35
162,36
163,34
164,27
165,34
166,31
167,31
168,21
169,23
170,32
171,22
172,24
173,25
174,20
175,14
176,26
177,22
178,15
179,20
180,21
181,19
182,23
183,20
184,17
185,25
186,14
187,19
188,29
189,22
190,28
191,16
192,22
193,11
194,12
195,14
196,12
197,15
198,16
199,13
200,17
201,17
202,12
203,14
204,18
205,14
206,17
207,15
208,9
209,8
210,15
211,11
212,12
213,14
214,11
215,16
216,11
217,14
218,16
219,15
220,19
221,15
222,8
223,12
224,15
225,9
226,13
227,13
228,10
229,13
230,10
231,13
232,14
233,9
234,9
235,13
236,7
237,7
238,7
239,18
240,6
241,7
242,9
243,16
244,9
245,17
246,6
247,5
248,12
249,3
250,9
251,13
252,8
253,10
254,11
255,9
256,16
257,5
258,14
259,11
260,6
261,5
262,8
263,11
264,7
265,8
266,9
267,5
268,4
269,6
270,6
271,8
272,4
273,2
274,4
275,6
276,5
277,8
278,6
279,4
280,5
281,3
282,1
283,6
284,4
285,3
286,3
287,4
288,4
289,2
290,6
291,1
292,3
293,1
294,4
295,2
297,1
299,1
