news_id,category,category_group,x,y
N40078,tv,other,-9.9127779006958,7.118006706237793
N1032,sports,sports,59.24677658081055,6.597639560699463
N37129,finance,finance,7.180127143859863,2.435140609741211
N44720,news,news,3.6762051582336426,-47.27885818481445
N34169,lifestyle,lifestyle,-1.6702311038970947,13.044501304626465
N64593,health,health,-26.46159553527832,2.9768712520599365
N61681,lifestyle,lifestyle,-23.76993751525879,0.7128751873970032
N60798,foodanddrink,foodanddrink,-36.22901153564453,5.1147074699401855
N27394,autos,autos,-32.46894454956055,20.593585968017578
N35774,foodanddrink,foodanddrink,-28.625703811645508,6.432241916656494
N7951,news,news,-4.264065265655518,-50.779869079589844
N58332,entertainment,other,-31.3524112701416,1.3953218460083008
N44133,foodanddrink,foodanddrink,-34.0589599609375,-11.538373947143555
N56461,finance,finance,25.409442901611328,-25.522579193115234
N46688,health,health,-29.614614486694336,7.1338653564453125
N25604,sports,sports,9.994672775268555,35.69407653808594
N59271,weather,weather,-19.13550567626953,-40.48322677612305
N33458,news,news,28.104400634765625,-16.037355422973633
N61084,lifestyle,lifestyle,-28.3438720703125,8.912210464477539
N7403,news,news,-2.592766761779785,-43.51572036743164
N12188,news,news,56.991302490234375,7.024997234344482
N61483,lifestyle,lifestyle,-24.38335418701172,16.186800003051758
N58730,foodanddrink,foodanddrink,-36.103065490722656,-7.331839084625244
N44573,news,news,-22.615365982055664,-27.970630645751953
N43677,music,other,6.628728866577148,5.213071823120117
N32180,news,news,7.07335901260376,-36.6024284362793
N24959,video,video,-23.281126022338867,6.490525245666504
N46858,travel,travel,-22.612001419067383,7.788071632385254
N33853,sports,sports,30.386714935302734,45.90061569213867
N7234,lifestyle,lifestyle,-22.288806915283203,11.832746505737305
N31444,health,health,-6.802515506744385,-0.9845512509346008
N15424,health,health,-24.862018585205078,10.740471839904785
N62758,autos,autos,-34.395259857177734,21.19347381591797
N48194,sports,sports,-2.124709367752075,45.04776382446289
N35527,sports,sports,-9.701361656188965,46.52730941772461
N31430,news,news,-36.437557220458984,-25.290348052978516
N122,finance,finance,54.81421661376953,3.3594226837158203
N51409,autos,autos,-35.88480758666992,21.880247116088867
N9432,weather,weather,-46.943965911865234,-32.27967071533203
N28392,news,news,-4.423308372497559,-9.700828552246094
N41764,tv,other,0.30352282524108887,9.748717308044434
N7829,news,news,21.77646255493164,-9.33463191986084
N33277,sports,sports,18.59385108947754,48.96089172363281
N5717,finance,finance,-15.83466625213623,4.267935752868652
N10868,lifestyle,lifestyle,59.273563385009766,2.4391775131225586
N15913,lifestyle,lifestyle,-33.643333435058594,4.338682651519775
N41526,lifestyle,lifestyle,-31.873153686523438,1.8124281167984009
N2968,lifestyle,lifestyle,-23.03560447692871,-5.341686725616455
N1816,travel,travel,-26.547578811645508,9.175252914428711
N3527,sports,sports,-21.21596336364746,26.94658660888672
N35778,travel,travel,-20.273061752319336,-3.3827738761901855
N38956,sports,sports,-6.23606014251709,56.491294860839844
N22652,sports,sports,30.153980255126953,45.77823257446289
N10530,foodanddrink,foodanddrink,58.12447738647461,2.7971878051757812
N62176,sports,sports,-10.969892501831055,46.87759780883789
N17119,foodanddrink,foodanddrink,-30.199161529541016,0.34718358516693115
N15212,sports,sports,-10.497941970825195,48.42936325073242
N37822,news,news,27.315296173095703,-34.39293670654297
N2087,music,other,-0.3337935507297516,-6.813761234283447
N24966,sports,sports,12.601075172424316,34.51005935668945
N48433,news,news,29.94157600402832,-20.87150001525879
N57812,news,news,-16.713924407958984,-5.440328121185303
N28964,sports,sports,6.927664756774902,19.430208206176758
N2867,foodanddrink,foodanddrink,-35.19572830200195,6.091105937957764
N10670,news,news,56.53510284423828,3.2720563411712646
N37890,weather,weather,-40.31627655029297,-31.724910736083984
N12435,sports,sports,62.598426818847656,6.94501256942749
N560,movies,other,-4.5933990478515625,14.358136177062988
N26502,tv,other,-9.686203956604004,7.212170124053955
N7201,tv,other,3.758922815322876,7.661805629730225
N18905,foodanddrink,foodanddrink,-33.42719268798828,-8.999767303466797
N7359,tv,other,-9.603824615478516,7.81369161605835
N42288,news,news,8.383265495300293,-8.107844352722168
N41490,foodanddrink,foodanddrink,-8.090486526489258,5.072669506072998
N42432,foodanddrink,foodanddrink,-35.81544876098633,-16.371238708496094
N15811,lifestyle,lifestyle,-0.44660571217536926,12.097258567810059
N22495,finance,finance,-15.567904472351074,0.843468189239502
N62850,news,news,20.371522903442383,-34.45433807373047
N49121,health,health,2.019178867340088,-8.766691207885742
N60077,news,news,18.46416473388672,-34.82123565673828
N17782,sports,sports,2.0320818424224854,58.268157958984375
N16475,news,news,-21.25812530517578,-38.44320297241211
N22974,sports,sports,-0.7734205722808838,-12.056049346923828
N62442,sports,sports,-29.61420249938965,33.894229888916016
N18082,foodanddrink,foodanddrink,-33.33281326293945,-0.5885064005851746
N32209,health,health,-0.4738227427005768,9.206103324890137
N51658,weather,weather,-39.95924377441406,-34.96146774291992
N22048,foodanddrink,foodanddrink,-38.517642974853516,7.259848594665527
N7582,video,video,9.297843933105469,31.395713806152344
N8608,video,video,-5.848381042480469,0.616262674331665
N4607,autos,autos,-8.021146774291992,-54.32211685180664
N23115,news,news,4.304710388183594,-46.47386169433594
N42370,news,news,4.9881486892700195,-36.41124725341797
N17725,video,video,-30.936092376708984,21.601421356201172
N3386,news,news,27.11714744567871,-25.57618522644043
N46597,health,health,3.606598138809204,-5.908758163452148
N24670,sports,sports,19.675233840942383,14.562068939208984
N5018,news,news,-22.05518341064453,-46.5979118347168
N5366,sports,sports,28.351409912109375,38.9581413269043
N54961,news,news,-19.921154022216797,-29.488582611083984
N28895,lifestyle,lifestyle,-33.02268600463867,8.441995620727539
N8697,finance,finance,-10.328522682189941,13.177043914794922
N52468,sports,sports,2.852238655090332,27.870067596435547
N688,health,health,-6.644695281982422,-1.6236156225204468
N64448,sports,sports,-0.636770486831665,56.678016662597656
N45147,sports,sports,11.820257186889648,22.31387710571289
N46701,travel,travel,-32.08507537841797,4.639401912689209
N9411,sports,sports,-10.412471771240234,44.80400085449219
N44458,sports,sports,-7.353970527648926,44.683895111083984
N34920,health,health,-0.8615281581878662,9.100440979003906
N9047,lifestyle,lifestyle,-18.718904495239258,13.625616073608398
N14201,lifestyle,lifestyle,2.456911087036133,-4.736385822296143
N24994,finance,finance,-28.008899688720703,-5.73930549621582
N8886,lifestyle,lifestyle,-27.323957443237305,6.497208118438721
N8864,news,news,1.1633812189102173,-38.72642135620117
N31451,news,news,-13.120259284973145,16.9086971282959
N13504,travel,travel,-33.36437225341797,-0.07894691824913025
N39157,health,health,-27.029069900512695,3.3862500190734863
N58647,entertainment,other,-2.684713840484619,-2.588125228881836
N40735,sports,sports,2.5001373291015625,65.22531127929688
N47653,finance,finance,-16.228595733642578,16.61212730407715
N21447,lifestyle,lifestyle,-32.1334114074707,8.237563133239746
N26603,news,news,23.697311401367188,-14.536869049072266
N30424,travel,travel,-11.009894371032715,-49.6204719543457
N53750,health,health,-23.04344367980957,12.095505714416504
N24915,autos,autos,-37.03242492675781,-6.911337375640869
N27151,travel,travel,-23.608369827270508,13.439605712890625
N50117,sports,sports,28.41510581970215,35.21272659301758
N3635,news,news,5.240354537963867,-34.77587890625
N21815,tv,other,-8.81905460357666,6.875349998474121
N59691,finance,finance,-7.276277542114258,-26.340614318847656
N26924,lifestyle,lifestyle,-0.9223389625549316,10.328011512756348
N31465,sports,sports,-7.701989650726318,45.099788665771484
N40967,autos,autos,-17.358230590820312,-41.48703384399414
N4432,news,news,21.897842407226562,-17.886295318603516
N15161,news,news,5.860003471374512,-9.377226829528809
N50272,sports,sports,18.250003814697266,24.67300033569336
N24749,foodanddrink,foodanddrink,-31.867263793945312,-2.3069961071014404
N65016,lifestyle,lifestyle,-22.402814865112305,14.801095962524414
N5065,sports,sports,4.787328243255615,51.320213317871094
N34677,news,news,-4.722116470336914,-55.828487396240234
N4911,sports,sports,-11.099868774414062,58.341270446777344
N39613,video,video,5.725182056427002,-0.2730027437210083
N6172,foodanddrink,foodanddrink,-4.327710151672363,-5.526046276092529
N36091,tv,other,3.6897943019866943,1.1446353197097778
N41902,sports,sports,3.1723008155822754,33.890682220458984
N36127,sports,sports,5.127012729644775,55.5938835144043
N31290,video,video,8.793586730957031,-22.165714263916016
N52139,video,video,25.052387237548828,-16.25529670715332
N30148,weather,weather,-22.765398025512695,-49.46107482910156
N42508,news,news,-18.585233688354492,-1.8328877687454224
N14322,finance,finance,-17.190595626831055,17.00876808166504
N26050,news,news,29.39326286315918,-31.493778228759766
N47754,foodanddrink,foodanddrink,-35.086997985839844,3.290872812271118
N42812,weather,weather,-41.25745391845703,-28.826169967651367
N36270,lifestyle,lifestyle,4.485579013824463,10.620636940002441
N60978,finance,finance,-17.523235321044922,4.4547576904296875
N45388,sports,sports,32.83633804321289,40.30094528198242
N6694,lifestyle,lifestyle,-0.8262737989425659,12.58786392211914
N28252,video,video,27.64186668395996,-29.05507469177246
N58745,finance,finance,-17.162708282470703,15.184392929077148
N49852,foodanddrink,foodanddrink,-32.601402282714844,3.187790870666504
N55318,tv,other,7.445393085479736,6.985814094543457
N29078,news,news,29.50368309020996,-12.210667610168457
N35404,autos,autos,-15.023672103881836,6.860439300537109
N7498,video,video,-12.299944877624512,-7.617520809173584
N22156,news,news,25.69076919555664,-23.051218032836914
N53240,lifestyle,lifestyle,-23.6425838470459,14.906499862670898
N12142,news,news,54.38517379760742,7.668607234954834
N48589,autos,autos,-31.935728073120117,21.272014617919922
N36669,video,video,-21.9925594329834,-2.467188596725464
N42786,tv,other,22.875701904296875,-13.18338680267334
N10339,sports,sports,60.15624237060547,9.774624824523926
N62996,health,health,-19.266544342041016,-8.959449768066406
N52236,foodanddrink,foodanddrink,-35.452091217041016,-2.783574342727661
N32147,news,news,0.3295808732509613,-56.00621795654297
N25577,news,news,19.737688064575195,-12.675436973571777
N52261,foodanddrink,foodanddrink,-33.45768356323242,-9.945391654968262
N37869,weather,weather,-29.243406295776367,8.786870002746582
N46861,music,other,9.605454444885254,9.664581298828125
N40178,news,news,11.938047409057617,-8.637673377990723
N35819,lifestyle,lifestyle,-4.944791316986084,13.903709411621094
N50563,lifestyle,lifestyle,-31.250986099243164,7.476083755493164
N41214,weather,weather,-21.599775314331055,-52.947792053222656
N13996,travel,travel,-24.32013511657715,-1.5594182014465332
N61066,news,news,5.3242506980896,-0.3533603847026825
N60673,music,other,2.6301207542419434,12.123013496398926
N18699,news,news,-1.573752760887146,-56.224525451660156
N32510,sports,sports,-10.407339096069336,21.448036193847656
N62900,sports,sports,14.895705223083496,18.31529426574707
N34909,lifestyle,lifestyle,-21.018348693847656,4.385577201843262
N11451,foodanddrink,foodanddrink,58.81315231323242,7.266233444213867
N58234,sports,sports,23.122314453125,36.81808090209961
N56002,sports,sports,0.4881022274494171,34.527652740478516
N26753,finance,finance,-30.987943649291992,-9.280571937561035
N43542,sports,sports,-27.356664657592773,34.56612777709961
N5719,sports,sports,-6.8653883934021,61.32722091674805
N4027,travel,travel,-26.576080322265625,-1.0322325229644775
N54007,finance,finance,28.207815170288086,43.53887176513672
N57934,news,news,-14.335591316223145,-6.97185754776001
N27039,health,health,-23.44821548461914,10.778178215026855
N16553,tv,other,-26.1513614654541,14.225844383239746
N59057,news,news,-26.326919555664062,14.026655197143555
N41252,foodanddrink,foodanddrink,-30.06922149658203,-3.681810140609741
N55278,sports,sports,-0.6591801643371582,55.98968505859375
N19739,video,video,-23.557218551635742,-6.699674606323242
N57426,lifestyle,lifestyle,2.2698259353637695,11.765769004821777
N44441,travel,travel,-21.195449829101562,11.31633186340332
N54550,news,news,-19.105226516723633,-4.973476409912109
N30806,weather,weather,-13.85098648071289,-50.979042053222656
N43405,sports,sports,10.080321311950684,29.121849060058594
N54808,news,news,25.12533950805664,-24.10535430908203
N47354,sports,sports,-0.9709668159484863,62.747066497802734
N22779,autos,autos,-18.97979164123535,3.694613218307495
N49093,foodanddrink,foodanddrink,-36.2005615234375,4.8451008796691895
N21328,lifestyle,lifestyle,5.265900135040283,14.373764038085938
N23660,news,news,-34.597328186035156,12.483769416809082
N22934,music,other,4.006371021270752,-3.61714243888855
N8719,news,news,17.35856056213379,-9.39299201965332
N1933,sports,sports,-2.6854166984558105,50.056400299072266
N31455,health,health,-23.668519973754883,14.486227035522461
N50296,news,news,18.063095092773438,-16.321836471557617
N7078,sports,sports,6.029818534851074,0.8246941566467285
N58805,weather,weather,-42.338565826416016,-29.168840408325195
N49243,news,news,1.779504656791687,-36.267822265625
N4336,sports,sports,3.960454225540161,69.72225952148438
N8596,news,news,-21.7219181060791,-38.139183044433594
N45731,sports,sports,-28.04305076599121,32.575653076171875
N19544,sports,sports,20.47514533996582,19.405073165893555
N13562,news,news,28.09646987915039,-12.805842399597168
N37510,travel,travel,-24.67229461669922,-0.5995532870292664
N61,health,health,-26.441789627075195,8.113919258117676
N20988,lifestyle,lifestyle,2.162752866744995,10.571990013122559
N39693,foodanddrink,foodanddrink,-32.649173736572266,12.26759147644043
N9172,sports,sports,27.91602325439453,39.57828140258789
N37457,news,news,17.275320053100586,-16.331636428833008
N54365,foodanddrink,foodanddrink,-32.109703063964844,2.111849069595337
N18632,health,health,-24.914392471313477,8.334012031555176
N31181,finance,finance,-15.599748611450195,-18.401411056518555
N32391,video,video,-10.49522590637207,-44.04576873779297
N40265,news,news,25.690692901611328,-23.014612197875977
N50419,travel,travel,-1.4857335090637207,-55.1469841003418
N44938,finance,finance,-14.287097930908203,15.516955375671387
N20835,weather,weather,-40.52800750732422,-36.31386947631836
N52028,movies,other,8.734960556030273,5.860166549682617
N35361,news,news,-1.5561020374298096,-26.12326431274414
N63241,finance,finance,-28.52248764038086,-2.3282458782196045
N24847,sports,sports,26.9200496673584,41.008522033691406
N56583,sports,sports,2.4859375953674316,54.7479248046875
N10267,news,news,53.27584457397461,4.222753047943115
N39980,lifestyle,lifestyle,-34.351192474365234,9.606009483337402
N50630,tv,other,-7.76338005065918,4.883569240570068
N59346,sports,sports,21.26059341430664,16.058645248413086
N36096,entertainment,other,8.1854887008667,7.981308937072754
N14316,lifestyle,lifestyle,-11.384565353393555,3.770224094390869
N50864,tv,other,6.459923267364502,3.6559619903564453
N63779,finance,finance,-15.829352378845215,-16.38922119140625
N60263,weather,weather,-21.165483474731445,-52.987369537353516
N2926,sports,sports,-5.69242000579834,59.562740325927734
N12761,foodanddrink,foodanddrink,-33.68482971191406,-6.77161979675293
N1169,sports,sports,61.022857666015625,8.679153442382812
N14544,lifestyle,lifestyle,-32.78030014038086,8.200916290283203
N4017,sports,sports,0.21699999272823334,44.73371505737305
N21347,finance,finance,25.854598999023438,-26.644805908203125
N12074,news,news,58.640411376953125,1.264548659324646
N1926,entertainment,other,-9.757326126098633,5.475434303283691
N44494,sports,sports,8.315007209777832,18.749954223632812
N57350,news,news,4.801858901977539,-51.782684326171875
N13911,news,news,-5.493234157562256,-42.65035629272461
N56354,news,news,13.661904335021973,-14.860669136047363
N8667,news,news,-15.127574920654297,-4.127851963043213
N22542,sports,sports,20.898727416992188,1.5786570310592651
N55296,lifestyle,lifestyle,-24.316545486450195,16.279634475708008
N58207,news,news,3.9959828853607178,-51.909210205078125
N41741,health,health,-15.913558959960938,-12.97671127319336
N62175,finance,finance,-18.127357482910156,-8.985843658447266
N17675,video,video,28.557445526123047,-5.936459541320801
N26437,health,health,-28.824989318847656,4.9001688957214355
N41122,autos,autos,-36.34735870361328,20.113536834716797
N986,finance,finance,-15.956074714660645,-19.98894691467285
N10310,news,news,59.786808013916016,5.138481140136719
N54003,lifestyle,lifestyle,-7.58811092376709,0.8201892971992493
N4042,health,health,-16.38108253479004,-12.344243049621582
N23284,news,news,28.341541290283203,-23.387025833129883
N24251,movies,other,-10.672022819519043,8.280818939208984
N36627,lifestyle,lifestyle,-19.474456787109375,-6.58955192565918
N5699,foodanddrink,foodanddrink,-27.234716415405273,1.7119616270065308
N13377,finance,finance,-7.576979160308838,-12.154389381408691
N58339,sports,sports,-8.092053413391113,35.153202056884766
